"name.library.x","replicate","forward_FASTQ_file","forward_file_loc","reverse_FASTQ_file","reverse_file_loc"
"LNPA-7_(SP)",4,"N708-N506_S58_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N506_S58_L004_R1_001.fastq.gz","N708-N506_S58_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N506_S58_L004_R2_001.fastq.gz"
"LNPA-84",1,"N702-N502_S9_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N702-N502_S9_L001_R1_001.fastq.gz","N702-N502_S9_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N702-N502_S9_L001_R2_001.fastq.gz"
"LNPA-84",2,"N702-N502_S9_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N702-N502_S9_L002_R1_001.fastq.gz","N702-N502_S9_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N702-N502_S9_L002_R2_001.fastq.gz"
"LNPA-84",3,"N702-N502_S9_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N702-N502_S9_L003_R1_001.fastq.gz","N702-N502_S9_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N702-N502_S9_L003_R2_001.fastq.gz"
"LNPA-84",4,"N702-N502_S9_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N702-N502_S9_L004_R1_001.fastq.gz","N702-N502_S9_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N702-N502_S9_L004_R2_001.fastq.gz"
"LNPA-85",1,"N708-N502_S35_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N708-N502_S35_L001_R1_001.fastq.gz","N708-N502_S35_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N708-N502_S35_L001_R2_001.fastq.gz"
"LNPA-85",2,"N708-N502_S35_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N708-N502_S35_L002_R1_001.fastq.gz","N708-N502_S35_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N708-N502_S35_L002_R2_001.fastq.gz"
"LNPA-85",3,"N708-N502_S35_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N708-N502_S35_L003_R1_001.fastq.gz","N708-N502_S35_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N708-N502_S35_L003_R2_001.fastq.gz"
"LNPA-85",4,"N708-N502_S35_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N708-N502_S35_L004_R1_001.fastq.gz","N708-N502_S35_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N708-N502_S35_L004_R2_001.fastq.gz"
"LNPA-87",1,"N702-N503_S5_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N702-N503_S5_L001_R1_001.fastq.gz","N702-N503_S5_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N702-N503_S5_L001_R2_001.fastq.gz"
