sampleId	country	city	locality	collectionDate	nFlies	SRA_accession	SRA_experiment	type	PCA.set	FST.set	GLM.set	IND.set
TR_Yes_16_43	Turkey	Yesiloz TR17	TR_Yes	9/27/16	40	SRR8494468	SRX5298999	pooled	TRUE	FALSE	TRUE	FALSE
TR_Yes_16_52	Turkey	Yesiloz TR18	TR_Yes	10/13/16	40	SRR8494423	SRX5299044	pooled	TRUE	FALSE	TRUE	FALSE
UA_Che_14_28	Ukraine	Chornobyl (Cooling pond)	UA_Che	9/13/14	40	SRR5647733	SRX2885375	pooled	FALSE	TRUE	TRUE	FALSE
UA_Che_14_29	Ukraine	Chornobyl Yaniv	UA_Che	9/13/14	40	SRR5647734	SRX2885374	pooled	FALSE	TRUE	TRUE	FALSE
UA_Che_14_47	Ukraine	Chornobyl Applegarden	UA_Che	9/13/14	40	SRR5647731	SRX2885377	pooled	FALSE	TRUE	TRUE	FALSE
UA_Che_14_48	Ukraine	Chornobyl Polisske	UA_Che	9/13/14	35	SRR5647742	SRX2885366	pooled	FALSE	FALSE	TRUE	FALSE
UA_Cho_15_24	Ukraine	Chornobyl Applegarden (New)	UA_Cho	8/20/15	40	SRR8439132	SRX5246576	pooled	FALSE	TRUE	TRUE	FALSE
UA_Cho_15_25	Ukraine	Chornobyl Applegarden (New)	UA_Cho	6/15/15	40	SRR8439133	SRX5246575	pooled	FALSE	TRUE	TRUE	FALSE
UA_Cho_15_26	Ukraine	Chornobyl Kopachi	UA_Cho	8/26/15	40	SRR8439134	SRX5246574	pooled	FALSE	FALSE	TRUE	FALSE
UA_Cho_15_27	Ukraine	Chornobyl Yaniv	UA_Cho	8/26/15	40	SRR8439135	SRX5246573	pooled	FALSE	TRUE	TRUE	FALSE
UA_Cho_15_65	Ukraine	Chornobyl (Cooling pond)	UA_Cho	8/26/15	40	SRR8439149	SRX5246559	pooled	FALSE	TRUE	TRUE	FALSE
UA_Cho_15_67	Ukraine	Chornobyl Applegarden (New)	UA_Cho	8/26/15	40	SRR8439128	SRX5246580	pooled	FALSE	TRUE	TRUE	FALSE
UA_Cho_15_68	Ukraine	Chornobyl Polisske	UA_Cho	8/26/15	40	SRR8439169	SRX5246539	pooled	FALSE	FALSE	TRUE	FALSE
UA_Cho_15_69	Ukraine	Chornobyl Applegarden	UA_Cho	8/26/15	40	SRR8439139	SRX5246569	pooled	FALSE	FALSE	TRUE	FALSE
UA_Cho_15_70	Ukraine	Chornobyl Applegarden (New)	UA_Cho	7/7/15	40	SRR8439115	SRX5246593	pooled	FALSE	TRUE	TRUE	FALSE
UA_Cho_16_54	Ukraine	Chornobyl Applegarden (New)	UA_Cho	9/4/16	40	SRR8494431	SRX5299036	pooled	FALSE	FALSE	TRUE	FALSE
UA_Cho_16_55	Ukraine	Chornobyl (Cooling pond)	UA_Cho	9/5/16	40	SRR8494444	SRX5299023	pooled	FALSE	FALSE	TRUE	FALSE
UA_Cho_16_62	Ukraine	Chornobyl Yaniv	UA_Cho	9/4/16	40	SRR8494433	SRX5299034	pooled	FALSE	FALSE	TRUE	FALSE
UA_Dro_14_27	Ukraine	Drogobych	UA_Dro	8/24/14	40	SRR5647732	SRX2885376	pooled	FALSE	TRUE	TRUE	FALSE
UA_Dro_15_10	Ukraine	Drogobych	UA_Dro	9/18/15	40	SRR8439116	SRX5246592	pooled	FALSE	TRUE	TRUE	FALSE
UA_Dro_16_56	Ukraine	Drogobych	UA_Dro	9/12/16	40	SRR8494441	SRX5299026	pooled	FALSE	FALSE	TRUE	FALSE
UA_Kan_16_57	Ukraine	Kaniv	UA_Kan	7/8/16	40	SRR8494448	SRX5299019	pooled	FALSE	TRUE	TRUE	FALSE
UA_Kha_14_45	Ukraine	Kharkiv	UA_Kha	7/26/14	40	SRR5647747	SRX2885361	pooled	FALSE	TRUE	TRUE	FALSE
UA_Kha_14_46	Ukraine	Kharkiv	UA_Kha	9/14/14	40	SRR5647730	SRX2885378	pooled	FALSE	TRUE	TRUE	FALSE
UA_Kha_15_19	Ukraine	Kharkiv	UA_Kha	8/20/15	40	SRR8439146	SRX5246562	pooled	FALSE	TRUE	TRUE	FALSE
UA_Kha_16_58	Ukraine	Kharkiv	UA_Kha	8/18/16	40	SRR8494446	SRX5299021	pooled	FALSE	FALSE	TRUE	FALSE
UA_Kyi_14_23	Ukraine	Kyiv	UA_Kyi	8/9/14	40	SRR5647736	SRX2885372	pooled	FALSE	TRUE	TRUE	FALSE
UA_Kyi_14_24	Ukraine	Kyiv	UA_Kyi	9/8/14	40	SRR5647737	SRX2885371	pooled	FALSE	FALSE	TRUE	FALSE
UA_Kyi_14_49	Ukraine	Kyiv	UA_Kyi	10/11/14	40	SRR5647743	SRX2885365	pooled	FALSE	FALSE	TRUE	FALSE
UA_Kyi_15_64	Ukraine	Kyiv (Vyshneve)	UA_Kyi	8/10/15	40	SRR8439147	SRX5246561	pooled	FALSE	TRUE	TRUE	FALSE
UA_Kyi_16_44	Ukraine	Kyiv (Vyshneve)	UA_Kyi	9/4/16	40	SRR8494466	SRX5299001	pooled	FALSE	TRUE	TRUE	FALSE
UA_Kyi_16_45	Ukraine	Kyiv (Vyshneve)	UA_Kyi	10/3/16	40	SRR8494428	SRX5299039	pooled	FALSE	TRUE	TRUE	FALSE
UA_Kyi_16_59	Ukraine	Kyiv (Vyshneve)	UA_Kyi	8/6/16	40	SRR8494430	SRX5299037	pooled	FALSE	FALSE	TRUE	FALSE
UA_Ode_14_19	Ukraine	Odesa	UA_Ode	7/3/14	40	SRR5647766	SRX2885342	pooled	TRUE	TRUE	TRUE	FALSE
UA_Ode_14_20	Ukraine	Odesa	UA_Ode	7/22/14	40	SRR5647765	SRX2885343	pooled	TRUE	TRUE	TRUE	FALSE
UA_Ode_14_21	Ukraine	Odesa	UA_Ode	8/29/14	40	SRR5647768	SRX2885340	pooled	TRUE	TRUE	TRUE	FALSE
UA_Ode_14_22	Ukraine	Odesa	UA_Ode	10/10/14	40	SRR5647767	SRX2885341	pooled	TRUE	TRUE	TRUE	FALSE
UA_Ode_15_11	Ukraine	Odesa	UA_Ode	9/26/15	40	SRR8439155	SRX5246553	pooled	TRUE	TRUE	TRUE	FALSE
UA_Ode_15_20	Ukraine	Odesa	UA_Ode	6/30/15	40	SRR8439145	SRX5246563	pooled	TRUE	TRUE	TRUE	FALSE
UA_Ode_15_22	Ukraine	Odesa	UA_Ode	8/27/15	40	SRR8439130	SRX5246578	pooled	TRUE	TRUE	TRUE	FALSE
UA_Ode_15_66	Ukraine	Odesa	UA_Ode	7/26/15	40	SRR8439140	SRX5246568	pooled	TRUE	TRUE	TRUE	FALSE
UA_Ode_16_46	Ukraine	Odesa	UA_Ode	8/20/16	40	SRR8494429	SRX5299038	pooled	TRUE	TRUE	TRUE	FALSE
UA_Ode_16_47	Ukraine	Odesa	UA_Ode	9/15/16	40	SRR8494427	SRX5299040	pooled	TRUE	FALSE	TRUE	FALSE
UA_Pir_16_48	Ukraine	Pripyat	UA_Pir	9/3/16	40	NA	NA	pooled	FALSE	FALSE	TRUE	FALSE
UA_Pyr_14_26	Ukraine	Pyriatyn	UA_Pyr	8/20/14	40	NA	NA	pooled	FALSE	FALSE	TRUE	FALSE
UA_Pyr_15_21	Ukraine	Pyriatyn	UA_Pyr	8/26/15	40	NA	NA	pooled	FALSE	FALSE	TRUE	FALSE
UA_Pyr_16_49	Ukraine	Pyriatyn	UA_Pyr	8/23/16	40	SRR8494424	SRX5299043	pooled	FALSE	TRUE	TRUE	FALSE
