row,author,species,numInd,p/i,continent,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
381, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452830,SRR2396900,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_6_1
382, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452831,SRR2396901,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_8_1
383, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452832,SRR2396902,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_10_1
384, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452833,SRR2396903,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_12_1
385, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452834,SRR2396904,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_14_1
386, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452835,SRR2396905,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_16_1
387, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452836,SRR2396906,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_18_1
388, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452837,SRR2396907,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_20_1
389, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452838,SRR2396908,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_22_1
390, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452839,SRR2396909,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_24_1
