Sample	SRR
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF3	SRS2378178
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
PNF7	SRS2378176
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
Anro_B5	SRS2378177
