sampleId	country	city	locality	collectionDate	nFlies	SRA_accession	Seq_strategy	sample_type	PCA.set	FST.set	GLM.set	IND.set	Source_Data	Notes
GS_Des_15_1	Guadeloupe	Deshaies	GS_Des	12/16/15	40	SRR8439114	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
GS_Sai_15_2	Guadeloupe	Saint Francois	GS_Sai	12/23/15	40	SRR8439112	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
HU_Sze_16_14	Hungary	Szeged	HU_Sze	8/28/16	40	SRR8494453	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
IT_Mez_15_43	Italy	Mezzocorona	IT_Mez	9/29/15	40	SRR8439118	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
IT_Mez_15_44	Italy	Mezzolombardo	IT_Mez	10/10/15	40	SRR8439119	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
IT_Tre_16_15	Italy	Trentino (San Michele)	IT_Tre	8/24/16	40	SRR8494456	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
PO_Brz_15_12	Poland	Brzezina	PO_Brz	9/28/15	40	SRR8439154	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
PO_Brz_16_17	Poland	Brzezina	PO_Brz	8/8/16	40	SRR8494458	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
PO_Gda_16_16	Poland	Gdansk	PO_Gda	8/1/16	40	SRR8494455	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
PT_Rec_14_33	Portugal	Recarei	PT_Rec	9/26/14	40	SRR5647770	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
PT_Rec_15_16	Portugal	Recarei	PT_Rec	9/1/15	40	SRR8439150	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
PT_Rec_16_18	Portugal	Recarei	PT_Rec	10/1/16	40	SRR8494457	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
RS_Kal_16_28	Serbia	Kalna	RS_Kal	6/30/16	40	SRR8494479	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
RS_Kal_16_29	Serbia	Kalna	RS_Kal	9/13/16	40	SRR8494471	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
RS_Sla_16_30	Serbia	Slankamen. Vinogradi	RS_Sla	6/18/16	40	SRR8494473	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
RS_Sla_16_31	Serbia	Slankamen. Vinogradi	RS_Sla	9/9/16	40	SRR8494474	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
RU_Ale_15_55	Russia	Alexandrov	RU_Ale	9/15/15	40	SRR8439141	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
RU_Ale_16_22	Russia	Alexandrov	RU_Ale	10/15/16	40	SRR8494476	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
RU_Val_14_51	Russia	Valday	RU_Val	8/17/14	40	SRR5647741	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
RU_Val_16_19	Russia	Valday	RU_Val	8/23/16	40	SRR8494449	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
RU_Val_16_20	Russia	Valday	RU_Val	9/29/16	40	SRR8494450	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
RU_Val_16_21	Russia	Valday	RU_Val	10/24/16	40	SRR8494477	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
RU_tul_15_37	Russia	tula	RU_tul	9/20/15	40	SRR8439159	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
RU_val_15_36	Russia	valday	RU_val	8/23/15	40	SRR8439160	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
RU_val_15_38	Russia	valday	RU_val	10/5/15	40	SRR8439158	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
SE_Lun_14_30	Sweden	Lund	SE_Lun	7/31/14	40	SRR5647735	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
SE_Lun_15_14	Sweden	Lund	SE_Lun	8/24/15	40	SRR8439156	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
SE_Lun_15_15	Sweden	Lund	SE_Lun	8/8/15	40	SRR8439151	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_14_03	Turkey	Yesiloz	TR_Yes	8/31/14	40	SRR5647749	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_14_04	Turkey	Yesiloz	TR_Yes	10/23/14	40	SRR5647748	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_15_3	Turkey	Yesiloz	TR_Yes	5/1/15	40	SRR8439113	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_15_4	Turkey	Yesiloz	TR_Yes	6/1/15	40	SRR8439111	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_15_5	Turkey	Yesiloz	TR_Yes	7/28/15	40	SRR8439110	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_15_6	Turkey	Yesiloz	TR_Yes	8/27/15	40	SRR8439109	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_15_7	Turkey	Yesiloz	TR_Yes	9/17/15	40	SRR8439108	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_15_8	Turkey	Yesiloz	TR_Yes	10/15/15	40	SRR8439107	pooled	wild	TRUE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_16_39	Turkey	Yesiloz TR13	TR_Yes	5/26/16	40	SRR8494467	pooled	wild	TRUE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_16_40	Turkey	Yesiloz TR14	TR_Yes	6/25/16	40	SRR8494465	pooled	wild	TRUE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_16_41	Turkey	Yesiloz TR15	TR_Yes	7/27/16	40	SRR8494464	pooled	wild	TRUE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_16_42	Turkey	Yesiloz TR16	TR_Yes	8/24/16	40	SRR8494463	pooled	wild	TRUE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_16_43	Turkey	Yesiloz TR17	TR_Yes	9/27/16	40	SRR8494468	pooled	wild	TRUE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
TR_Yes_16_52	Turkey	Yesiloz TR18	TR_Yes	10/13/16	40	SRR8494423	pooled	wild	TRUE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
UA_Che_14_28	Ukraine	Chornobyl (Cooling pond)	UA_Che	9/13/14	40	SRR5647733	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Che_14_29	Ukraine	Chornobyl Yaniv	UA_Che	9/13/14	40	SRR5647734	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Che_14_47	Ukraine	Chornobyl Applegarden	UA_Che	9/13/14	40	SRR5647731	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Che_14_48	Ukraine	Chornobyl Polisske	UA_Che	9/13/14	35	SRR5647742	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_15_24	Ukraine	Chornobyl Applegarden (New)	UA_Cho	8/20/15	40	SRR8439132	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_15_25	Ukraine	Chornobyl Applegarden (New)	UA_Cho	6/15/15	40	SRR8439133	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_15_26	Ukraine	Chornobyl Kopachi	UA_Cho	8/26/15	40	SRR8439134	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_15_27	Ukraine	Chornobyl Yaniv	UA_Cho	8/26/15	40	SRR8439135	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_15_65	Ukraine	Chornobyl (Cooling pond)	UA_Cho	8/26/15	40	SRR8439149	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_15_67	Ukraine	Chornobyl Applegarden (New)	UA_Cho	8/26/15	40	SRR8439128	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
